Sweep,Representation,tau,n_illicit,n_matched,seed,mmd2,perm_p,separable,Low_Confidence
BB: Label-Cond Separability Raw-vs-Prop,Raw,9,248,248,7,0.057054612475953004,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,9,248,248,8,0.0566425994980615,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,9,248,248,9,0.06364453599374809,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,10,18,18,0,0.11068927886419022,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,10,18,18,1,0.13420892894313097,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,10,18,18,2,0.1543003726116674,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,10,18,18,3,0.19355898165573815,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,10,18,18,4,0.15208182204507237,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,10,18,18,5,0.2025971467781298,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,10,18,18,6,0.14113657918451117,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,10,18,18,7,0.12556201026990443,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,10,18,18,8,0.1193747346491758,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,10,18,18,9,0.10552546344887226,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,11,131,131,0,0.07788071500888227,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,11,131,131,1,0.0695913500697245,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,11,131,131,2,0.07129400094555605,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,11,131,131,3,0.07362019790859575,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,11,131,131,4,0.08508909221190475,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,11,131,131,5,0.08965768481482139,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,11,131,131,6,0.07542774005179598,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,11,131,131,7,0.0669067501395948,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,11,131,131,8,0.0796567050464374,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,11,131,131,9,0.08401455326797658,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,12,16,16,0,0.07918984429699005,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,12,16,16,1,0.2149425189564873,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,12,16,16,2,0.34935936207583485,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,12,16,16,3,0.21571069825246525,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,12,16,16,4,0.13826686986400638,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,12,16,16,5,0.18123566272756908,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,12,16,16,6,0.19214767882709638,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,12,16,16,7,0.11779161835724072,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,12,16,16,8,0.046293468345305566,0.002997002997002997,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,12,16,16,9,0.13194248786432827,0.000999000999000999,1,1
BB: Label-Cond Separability Raw-vs-Prop,Raw,13,291,291,0,0.07579190448576334,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,13,291,291,1,0.0756044191853451,0.000999000999000999,1,0
