Seed,Variation,Sweep,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method,Static_Time_s,Static_Mem_MB,Static_Val_Pooled_F1,Static_Val_Pooled_PRAUC,Static_Val_Macro_F1,Static_Val_Macro_PRAUC,Static_OOT_Pooled_F1,Static_OOT_Pooled_PRAUC,Static_OOT_Macro_F1,Static_OOT_Macro_PRAUC,WF_Time_s,WF_Mem_MB,WF_Pooled_F1,WF_Pooled_PRAUC,WF_Macro_F1,WF_Macro_PRAUC,WF_Pre43_Pooled_F1,WF_Pre43_PRAUC,WF_Shock_F1,WF_Shock_PRAUC,WF_Recovery_Pooled_F1,WF_Recovery_PRAUC,Selfcond_Bug,Notes
44,Base,"Sweep 1: SGC (baseline) K=2, Topo=late",N/A,2,False,False,late,N/A,0.5,1.28,1.69,0.505,0.464,0.482,0.528,0.208,0.169,0.203,0.184,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
44,Base,"Sweep 1: SGC (baseline) K=2, Topo=early",N/A,2,False,False,early,N/A,0.5,1.153,1.69,0.512,0.464,0.484,0.497,0.219,0.179,0.213,0.193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
44,Base,"Sweep 1: SGC (baseline) K=3, Topo=None",N/A,3,False,False,None,N/A,0.5,1.29,1.68,0.508,0.477,0.474,0.495,0.213,0.167,0.208,0.177,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
44,Base,"Sweep 1: SGC (baseline) K=3, Topo=late",N/A,3,False,False,late,N/A,0.5,1.057,1.69,0.49,0.465,0.46,0.513,0.2,0.153,0.196,0.168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
44,Base,"Sweep 1: SGC (baseline) K=3, Topo=early",N/A,3,False,False,early,N/A,0.5,1.557,1.69,0.504,0.483,0.47,0.498,0.221,0.171,0.214,0.181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"NoMP Grid: K=1, Dir=F, Topo=None",N/A,1,False,False,None,N/A,0.5,7.756,1.55,0.813,0.903,0.743,0.81,0.326,0.325,0.184,0.261,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"NoMP Grid: K=1, Dir=F, Topo=late",N/A,1,False,False,late,N/A,0.5,8.23,1.56,0.829,0.925,0.74,0.828,0.186,0.328,0.086,0.264,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"NoMP Grid: K=1, Dir=F, Topo=early",N/A,1,False,False,early,N/A,0.5,8.358,1.55,0.851,0.933,0.793,0.839,0.382,0.394,0.217,0.295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"NoMP Grid: K=2, Dir=F, Topo=None",N/A,2,False,False,None,N/A,0.5,7.986,1.56,0.805,0.874,0.769,0.814,0.421,0.395,0.244,0.327,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"NoMP Grid: K=2, Dir=F, Topo=late",N/A,2,False,False,late,N/A,0.5,8.105,1.56,0.83,0.904,0.746,0.79,0.104,0.19,0.058,0.177,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
