Sweep,Variation,tau,seed,shuffle_flag,M,beta0_total_pers,beta1_total_pers,beta1_max_life,pers_entropy_h0,pers_entropy_h1,wasserstein_h0_to_next,wasserstein_h1_to_next,wasserstein_combined_to_next,mmd2_to_next,Low_Confidence
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,42,1,0,800,,,,,,,,,0.010517716407775879,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,43,1,0,800,,,,,,,,,0.012509703636169434,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,44,1,0,800,,,,,,,,,0.006509184837341309,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,45,1,0,800,,,,,,,,,0.023537516593933105,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,46,1,0,800,,,,,,,,,0.015177249908447266,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,47,1,0,800,,,,,,,,,0.0027344226837158203,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,48,1,0,800,,,,,,,,,0.007049679756164551,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,1,2,0,800,,,,,,,,,0.005351543426513672,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,2,2,0,800,,,,,,,,,0.008810877799987793,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,3,2,0,800,,,,,,,,,0.02175438404083252,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,4,2,0,800,,,,,,,,,0.007507681846618652,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,5,2,0,800,,,,,,,,,0.02511465549468994,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,6,2,0,800,,,,,,,,,0.02322852611541748,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,7,2,0,800,,,,,,,,,0.010747790336608887,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,8,2,0,800,,,,,,,,,0.009410738945007324,0
