Sweep,Variation,Static_Val_Pooled_F1_mean,Static_Val_Pooled_F1_std,Static_Val_Pooled_PRAUC_mean,Static_Val_Pooled_PRAUC_std,Static_Val_Macro_F1_mean,Static_Val_Macro_F1_std,Static_Val_Macro_PRAUC_mean,Static_Val_Macro_PRAUC_std,Static_OOT_Pooled_F1_mean,Static_OOT_Pooled_F1_std,Static_OOT_Pooled_PRAUC_mean,Static_OOT_Pooled_PRAUC_std,Static_OOT_Macro_F1_mean,Static_OOT_Macro_F1_std,Static_OOT_Macro_PRAUC_mean,Static_OOT_Macro_PRAUC_std,WF_Pooled_F1_mean,WF_Pooled_F1_std,WF_Pooled_PRAUC_mean,WF_Pooled_PRAUC_std,WF_Macro_F1_mean,WF_Macro_F1_std,WF_Macro_PRAUC_mean,WF_Macro_PRAUC_std,WF_Pre43_Pooled_F1_mean,WF_Pre43_Pooled_F1_std,WF_Pre43_PRAUC_mean,WF_Pre43_PRAUC_std,WF_Shock_F1_mean,WF_Shock_F1_std,WF_Shock_PRAUC_mean,WF_Shock_PRAUC_std,WF_Recovery_Pooled_F1_mean,WF_Recovery_Pooled_F1_std,WF_Recovery_PRAUC_mean,WF_Recovery_PRAUC_std,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method
"Ablation: Decay λ=0.5 on NoMP Grid: K=3, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.4443,,0.5364,,0.3324,,0.4051,,0.5906,,0.6299,,0.0702,,0.0288,,0.1054,,0.1225,,Decay Multiscale (63-dim),3,False,False,None,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on NoMP Grid: K=3, Dir=F, Topo=early",Base,,,,,,,,,,,,,,,,,0.5872,,0.5727,,0.4043,,0.4161,,0.6416,,0.6587,,0.0952,,0.0356,,0.3631,,0.1097,,Decay Multiscale (167-dim),3,False,False,early,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Sweep 1: SGC (baseline) K=2, Topo=None",Base,,,,,,,,,,,,,,,,,0.4258,,0.3419,,0.3857,,0.3681,,0.5846,,0.5488,,0.0319,,0.0191,,0.2123,,0.0896,,Decay Multiscale (165-dim),2,False,False,None,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Sweep 1: SGC (baseline) K=2, Topo=early",Base,,,,,,,,,,,,,,,,,0.4206,,0.3295,,0.3863,,0.3548,,0.5867,,0.5459,,0.0262,,0.0189,,0.2088,,0.0612,,Decay Multiscale (167-dim),2,False,False,early,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Sweep 1: SGC (baseline) K=3, Topo=early",Base,,,,,,,,,,,,,,,,,0.3987,,0.3223,,0.368,,0.3306,,0.5961,,0.5084,,0.0316,,0.0215,,0.1613,,0.0619,,Decay Multiscale (167-dim),3,False,False,early,0.5,epsilon-fallback
Ablation: Decay λ=0.5 on XGBoost,Base,,,,,,,,,,,,,,,,,0.8364,,0.87,,0.6743,,0.7186,,0.8842,,0.9255,,0.1538,,0.3185,,0.6036,,0.4078,,Raw-165 (no ts) + exp-decay,N/A,False,False,None,0.5,epsilon-fallback
"Ablation: IPCA on Grid: K=2, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.7024,,0.7351,,0.4585,,0.5017,,0.7984,,0.8417,,0.0,,0.0319,,0.2674,,0.0871,,IPCA Multiscale (141-dim),2,True,False,None,N/A,epsilon-fallback
"Ablation: IPCA on Grid: K=3, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.5902,,0.7423,,0.4624,,0.4924,,0.7964,,0.8556,,0.0,,0.0245,,0.1782,,0.0735,,IPCA Multiscale (144-dim),N/A,N/A,N/A,N/A,N/A,epsilon-fallback
"Ablation: IPCA on Grid: K=3, Dir=T, Topo=None",PCA,,,,,,,,,,,,,,,,,0.6801,,0.7061,,0.4409,,0.4918,,0.7832,,0.8209,,0.075,,0.0308,,0.1667,,0.0685,,IPCA Multiscale (262-dim),3,True,True,None,N/A,epsilon-fallback
"Ablation: IPCA on Grid: K=3, Dir=T, Topo=late",PCA,,,,,,,,,,,,,,,,,0.6221,,0.6772,,0.4329,,0.4612,,0.7501,,0.7909,,0.0,,0.0255,,0.1718,,0.0657,,IPCA Multiscale (263-dim),3,True,True,late,N/A,epsilon-fallback
"Ablation: IPCA on NoMP Grid: K=2, Dir=F, Topo=early",PCA,,,,,,,,,,,,,,,,,0.5151,,0.5838,,0.3974,,0.433,,0.6955,,0.7547,,0.0,,0.0138,,0.1431,,0.0554,,IPCA Multiscale (66-dim),2,False,False,early,N/A,epsilon-fallback
"Ablation: IPCA on NoMP Grid: K=3, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.5645,,0.5729,,0.3658,,0.3989,,0.6475,,0.6715,,0.0,,0.0263,,0.2798,,0.0722,,IPCA Multiscale (63-dim),3,False,False,None,N/A,epsilon-fallback
Baseline: IsolationForest (166),Base,,,,,,,,,0.0,0.0,0.03733333333333333,0.0005773502691896258,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,False,False,None,N/A,0.5
Baseline: Logistic Regression (166),Base,0.587,0.0,0.637,0.0,0.563,0.0,0.65,0.0,0.228,0.0,0.19099999999999998,0.0,0.241,0.0,0.237,0.0,,,,,,,,,,,,,,,,,,,,,N/A,N/A,False,False,None,N/A,0.5
Baseline: PyG GCN (2-layer),Base,0.7840000000000001,0.0,0.831,0.0,0.7559999999999999,0.0,0.787,0.0,0.345,0.0,0.412,0.0,0.208,0.0,0.34800000000000003,0.0,,,,,,,,,,,,,,,,,,,,,N/A,N/A,False,False,None,N/A,0.5
Baseline: RandomForest (166),Base,0.96,0.0026457513110646137,0.988,0.0,0.9486666666666667,0.0025166114784235766,0.9853333333333333,0.0005773502691896262,0.778,0.0009999999999999731,0.7823333333333333,0.0020816659994661747,0.476,0.0036055512754639926,0.5566666666666668,0.0030550504633039084,,,,,,,,,,,,,,,,,,,,,N/A,N/A,False,False,None,N/A,0.5
Baseline: XGBoost WF (epsilon-fallback),Base,0.9540000000000001,0.0,0.987,0.0,0.934,0.0,0.976,0.0,0.765,0.0,0.79,0.0,0.4749999999999999,0.0,0.563,0.0,0.834,0.0,0.89,0.0,0.634,0.0,0.713,0.0,0.902,0.0,0.9369999999999999,0.0,0.0,0.0,0.249,0.0,0.472,0.0,0.534,0.0,Raw-165 (no ts),N/A,False,False,None,N/A,local-quantile
"Grid: K=1, Dir=F, Topo=None",Base,0.871,,0.823,,0.816,,0.791,,0.33,,0.185,,0.202,,0.165,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,False,None,N/A,0.5
"Grid: K=1, Dir=F, Topo=None",PCA,0.859,,0.856,,0.808,,0.832,,0.317,,0.297,,0.174,,0.262,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,False,None,N/A,0.5
"Grid: K=1, Dir=F, Topo=early",Base,0.853,,0.854,,0.803,,0.847,,0.377,,0.278,,0.233,,0.236,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,False,early,N/A,0.5
"Grid: K=1, Dir=F, Topo=early",PCA,0.873,,0.874,,0.825,,0.843,,0.331,,0.3,,0.182,,0.247,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,False,early,N/A,0.5
"Grid: K=1, Dir=F, Topo=late",Base,0.875,,0.928,,0.817,,0.836,,0.402,,0.319,,0.224,,0.266,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,False,late,N/A,0.5
"Grid: K=1, Dir=F, Topo=late",PCA,0.863,,0.931,,0.804,,0.862,,0.347,,0.282,,0.199,,0.245,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,False,late,N/A,0.5
"Grid: K=1, Dir=T, Topo=None",Base,0.805,,0.863,,0.765,,0.831,,0.373,,0.357,,0.239,,0.271,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,True,None,N/A,0.5
"Grid: K=1, Dir=T, Topo=None",PCA,0.874,,0.939,,0.837,,0.855,,0.358,,0.253,,0.195,,0.204,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,True,None,N/A,0.5
"Grid: K=1, Dir=T, Topo=early",Base,0.882,,0.938,,0.81,,0.829,,0.249,,0.198,,0.139,,0.177,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,True,early,N/A,0.5
"Grid: K=1, Dir=T, Topo=early",PCA,0.876,,0.882,,0.823,,0.836,,0.43,,0.337,,0.246,,0.266,,,,,,,,,,,,,,,,,,,,,,N/A,1,True,True,early,N/A,0.5
